Date,Open,High,Low,Close,Volume
2024-04-08,1451.0,1467.0,1440.0,1449.0,182200.0
2024-04-05,1414.0,1455.0,1413.0,1450.0,173300.0
2024-04-04,1431.0,1458.0,1424.0,1428.0,205000.0
2024-04-03,1420.0,1443.0,1397.0,1431.0,233400.0
2024-04-02,1501.0,1503.0,1431.0,1431.0,463700.0
2024-04-01,1518.0,1522.0,1496.0,1503.0,187400.0
2024-03-29,1548.0,1548.0,1507.0,1518.0,207700.0
2024-03-28,1528.0,1548.0,1517.0,1532.0,175900.0
2024-03-27,1530.0,1541.0,1515.0,1540.0,187800.0
2024-03-26,1533.0,1540.0,1510.0,1518.0,253600.0
2024-03-25,1555.0,1565.0,1535.0,1535.0,172300.0
2024-03-22,1566.0,1574.0,1547.0,1562.0,209600.0
2024-03-21,1550.0,1575.0,1549.0,1566.0,280200.0
2024-03-19,1538.0,1544.0,1522.0,1532.0,116900.0
2024-03-18,1530.0,1542.0,1516.0,1538.0,175300.0
2024-03-15,1505.0,1525.0,1498.0,1521.0,199500.0
2024-03-14,1510.0,1533.0,1499.0,1520.0,239400.0
2024-03-13,1540.0,1548.0,1502.0,1504.0,233100.0
2024-03-12,1555.0,1560.0,1497.0,1535.0,289100.0
2024-03-11,1555.0,1589.0,1527.0,1543.0,296200.0
2024-03-08,1568.0,1590.0,1549.0,1578.0,435200.0
2024-03-07,1603.0,1613.0,1586.0,1587.0,232600.0
2024-03-06,1572.0,1609.0,1568.0,1604.0,196100.0
2024-03-05,1595.0,1597.0,1570.0,1578.0,328600.0
2024-03-04,1611.0,1632.0,1596.0,1600.0,380300.0
2024-03-01,1644.0,1663.0,1618.0,1621.0,242400.0
2024-02-29,1668.0,1668.0,1632.0,1640.0,292400.0
2024-02-28,1678.0,1713.0,1667.0,1678.0,362500.0
2024-02-27,1647.0,1679.0,1643.0,1677.0,322400.0
2024-02-26,1606.0,1659.0,1594.0,1650.0,394400.0
2024-02-22,1633.0,1639.0,1615.0,1615.0,245000.0
2024-02-21,1645.0,1645.0,1626.0,1630.0,166700.0
2024-02-20,1605.0,1659.0,1605.0,1641.0,492200.0
2024-02-19,1600.0,1617.0,1591.0,1600.0,246600.0
2024-02-16,1619.0,1626.0,1592.0,1618.0,274500.0
2024-02-15,1605.0,1634.0,1600.0,1609.0,438300.0
2024-02-14,1595.0,1618.0,1577.0,1587.0,323700.0
2024-02-13,1551.0,1627.0,1543.0,1625.0,646500.0
2024-02-09,1520.0,1560.0,1516.0,1546.0,380900.0
2024-02-08,1551.0,1555.0,1507.0,1526.0,633800.0
2024-02-07,1595.0,1603.0,1531.0,1557.0,876300.0
2024-02-06,1612.0,1623.0,1574.0,1602.0,880700.0
2024-02-05,1780.0,1838.0,1612.0,1623.0,2087400.0
2024-02-02,1692.0,1814.0,1616.0,1754.0,2336200.0
2024-02-01,1706.0,1719.0,1660.0,1703.0,456700.0
2024-01-31,1733.0,1738.0,1699.0,1722.0,298200.0
2024-01-30,1771.0,1771.0,1726.0,1730.0,330500.0
2024-01-29,1752.0,1796.0,1747.0,1772.0,361000.0
2024-01-26,1755.0,1783.0,1734.0,1748.0,405600.0
2024-01-25,1701.0,1765.0,1676.0,1759.0,713200.0
2024-01-24,1690.0,1755.0,1690.0,1714.0,522400.0
2024-01-23,1676.0,1716.0,1661.0,1694.0,735000.0
2024-01-22,1697.0,1713.0,1660.0,1667.0,900400.0
2024-01-19,1742.0,1744.0,1678.0,1708.0,1042800.0
2024-01-18,1931.0,1946.0,1560.0,1721.0,4578500.0
2024-01-17,1952.0,1996.0,1926.0,1960.0,610700.0
2024-01-16,1913.0,1953.0,1890.0,1934.0,452600.0
2024-01-15,1900.0,1917.0,1869.0,1913.0,310500.0
2024-01-12,1873.0,1908.0,1841.0,1883.0,442000.0
2024-01-11,1877.0,1878.0,1851.0,1870.0,322100.0
2024-01-10,1835.0,1867.0,1809.0,1854.0,413700.0
2024-01-09,1808.0,1825.0,1788.0,1821.0,318700.0
2024-01-05,1796.0,1805.0,1765.0,1789.0,344700.0
2024-01-04,1681.0,1791.0,1657.0,1781.0,382500.0
2023-12-29,1716.0,1716.0,1685.0,1698.0,229200.0
2023-12-28,1685.0,1731.0,1675.0,1727.0,224200.0
2023-12-27,1614.0,1692.0,1614.0,1678.0,485900.0
2023-12-26,1647.0,1670.0,1609.0,1609.0,265400.0
2023-12-25,1674.0,1687.0,1652.0,1652.0,131200.0
2023-12-22,1688.0,1707.0,1665.0,1674.0,167600.0
2023-12-21,1700.0,1704.0,1677.0,1688.0,189600.0
